2026-05-20 10:34:10, MOVE, v:1, k:ed@queimando, mode:PICK
2026-05-20 10:59:16, MOVE, v:1, k:ed@queimando, mode:BACK
2026-05-20 11:00:38, MOVE, v:1, k:ed@pintando, mode:PICK
2026-05-20 11:00:56, MOVE, v:1, k:ed@pintando, mode:BACK
2026-05-20 11:01:14, MOVE, v:1, k:ed@pintando, mode:PICK
2026-05-20 11:01:21, MOVE, v:1, k:ed@pintando, mode:BACK
2026-05-20 11:02:56, MOVE, v:1, k:ed@pintando, mode:PICK
2026-05-20 11:03:08, MOVE, v:1, k:ed@pintando, mode:BACK
2026-05-20 11:05:37, MOVE, v:1, k:ed@pintando, mode:DOWN
2026-05-20 11:09:31, MOVE, v:1, k:ed@pintando, mode:PICK
2026-05-20 11:09:34, MOVE, v:1, k:ed@pintando, mode:BACK
2026-05-20 11:10:48, MOVE, v:1, k:ed@queimando, mode:PICK
2026-05-20 11:08:31, MOVE, v:1, k:ed@pintando, mode:EDIT
2026-05-20 11:16:10, MOVE, v:1, k:ed@queimando, mode:BACK
